Country,International Openness,Air transport infrastructure,Ground and port infrastructure,Tourist service infrastructure,Prioritization of Travel & Tourism,Natural and cultural resources ,Environmental sustainability,Price competitiveness,Safety and security,TTCI
Ghana,2.954381029,1.979008769,2.599466671,2.314233828,3.810095324,1.919293688,4.135682724,4.979634639,5.515227974,3.148888862
Greece,4.108211692,4.772372775,3.848756318,5.750487024,5.626602414,3.423516805,4.535514252,4.863980584,5.584866207,4.545383911
Guatemala,3.943823364,1.840356871,2.433158174,3.775759854,4.505199758,2.244406073,3.923988407,5.734806229,4.014794153,3.393011906
Guinea,1.751732454,1.863508843,2.317800036,2.379041247,2.739092727,2.115546642,4.463325837,5.673047605,4.575011326,2.921685074
Guyana,,,,,,,,,,
Haiti,3.880896143,1.762516569,1.911908019,2.636770737,3.604935713,1.462137407,3.260859852,5.575217894,4.776213682,2.761206002
Honduras,4.254787411,2.085993201,3.125940306,3.435129295,5.091761497,2.189828994,4.475351671,5.543676921,3.61098414,3.456937783
Hong Kong SAR,3.804021669,5.61179878,6.397792353,4.266840711,5.850604191,2.990690556,4.576947685,4.529326975,6.394388243,4.811867708
Hungary,4.165590401,3.353592587,4.152273443,4.750253913,5.099474869,2.517442557,4.830821899,5.265380608,5.834641981,4.193590524
Iceland,4.40120249,4.95748007,4.005278861,5.999415048,6.111546994,2.291992168,4.80586082,3.570550506,6.538950569,4.499633948
India,3.838711467,4.205340242,4.486287342,2.780126259,4.294302224,5.019733672,3.647520147,6.078377367,4.524125245,4.421054932
Indonesia,4.267825202,3.916323834,3.349987408,3.087196656,5.870027385,3.825838459,3.490563447,6.226121783,5.371012834,4.269961401
"Iran, Islamic Rep.",2.384447645,2.452537812,3.125740431,2.795047147,3.703905286,2.602290636,3.946250958,6.731280771,5.405464442,3.54274219
Ireland,4.507975874,4.510535927,4.479026132,5.794577395,5.458001908,2.746402232,4.876059456,4.591293581,5.977870409,4.538317334
Israel,2.53712222,3.564800667,4.410461634,5.444225764,5.019290336,2.036508495,4.339652965,3.551517744,5.535319029,3.984054547
Italy,4.132605176,4.448822271,4.672206388,6.012341552,4.75385554,5.70944124,4.28587049,4.442981299,5.514011608,5.085620603
Jamaica,4.015926376,2.464638046,4.605538887,4.904666764,6.153407228,1.984397653,3.391165015,4.346294885,3.909464165,3.749274446
Japan,4.612512843,4.769197792,5.976947394,5.707814593,5.327153882,5.310755795,4.360469761,4.835006446,6.208006611,5.371621522
Jordan,3.312457301,2.745422925,2.862793511,3.842270559,5.137988257,1.752622032,4.324261396,5.310035896,5.733833403,3.588802002
Kazakhstan,2.487643801,2.659635343,2.939576332,3.399209253,4.316397196,2.145008421,3.81109015,6.331882256,5.575887769,3.669573729
